Time (s),Voltage (V),Current
1.8352000000000002,-32.8,5.065810307860375e-11
1.8353000000000002,-32.8,4.936958476901055e-11
1.8354000000000001,-32.8,3.9705689996480945e-11
1.8355000000000001,-32.8,3.9705689996480945e-11
1.8356000000000001,-32.8,4.550402984023094e-11
1.8357,-32.8,2.0377893000841143e-11
1.8358,-32.8,4.4859770685434345e-11
1.8359,-32.8,3.390735015273094e-11
1.836,-32.8,3.5840127617120744e-11
1.8361,-32.8,4.872532561421395e-11
1.8362,-32.8,4.743680730462074e-11
1.8363,-32.8,3.712865337729454e-11
1.8364,-32.8,3.841717168688774e-11
1.8365,-32.8,4.228272661566735e-11
1.8366,-32.8,5.259088799357414e-11
1.8367,-32.8,4.0994208306074144e-11
1.8368,-32.8,5.0013843923807146e-11
1.8369,-32.8,4.034994915127755e-11
1.8370000000000002,-32.8,5.0013843923807146e-11
1.8371000000000002,-32.8,3.7772912532091144e-11
1.8372000000000002,-32.8,4.421551153063774e-11
1.8373000000000002,-32.8,4.228272661566735e-11
1.8374000000000001,-32.8,3.712865337729454e-11
1.8375000000000001,-32.8,5.710070207715035e-11
1.8376000000000001,-32.8,5.1302369683980944e-11
1.8377000000000001,-32.8,4.6148288995027544e-11
1.8378,-32.8,2.939753606915474e-11
1.8379,-32.8,5.065810307860375e-11
1.838,-32.8,4.6792548149824146e-11
1.8381,-32.8,4.6148288995027544e-11
1.8382,-32.8,5.581218376755715e-11
1.8383,-32.8,5.1946628838777547e-11
1.8384,-32.8,5.5167924612760546e-11
1.8385,-32.8,5.065810307860375e-11
1.8386,-32.8,3.519586846232415e-11
1.8387,-32.8,4.357124492526055e-11
1.8388,-32.8,3.004179522395134e-11
1.8389,-32.8,4.6148288995027544e-11
1.8390000000000002,-32.8,4.6148288995027544e-11
1.8391000000000002,-32.8,5.5167924612760546e-11
1.8392000000000002,-32.8,5.710070207715035e-11
1.8393000000000002,-32.8,4.2926985770463945e-11
1.8394000000000001,-32.8,4.357124492526055e-11
1.8395000000000001,-32.8,4.872532561421395e-11
1.8396000000000001,-32.8,4.034994915127755e-11
1.8397000000000001,-32.8,3.1330313533544546e-11
1.8398,-32.8,3.390735015273094e-11
1.8399,-32.8,4.743680730462074e-11
1.84,-32.8,4.0994208306074144e-11
1.8401,-32.8,3.712865337729454e-11
1.8402,-32.8,3.519586846232415e-11
1.8403,-32.8,4.936958476901055e-11
1.8404,-32.8,3.1330313533544546e-11
1.8405,-32.8,4.4859770685434345e-11
1.8406,-32.8,3.197457268834114e-11
1.8407,-32.8,4.743680730462074e-11
1.8408,-32.8,3.5840127617120744e-11
1.8409,-32.8,3.9705689996480945e-11
1.8410000000000002,-32.8,3.519586846232415e-11
1.8411000000000002,-32.8,5.3235147148370745e-11
1.8412000000000002,-32.8,3.4551609307527545e-11
1.8413000000000002,-32.8,4.2926985770463945e-11
1.8414000000000001,-32.8,5.065810307860375e-11
1.8415000000000001,-32.8,5.5167924612760546e-11
1.8416000000000001,-32.8,4.6148288995027544e-11
1.8417000000000001,-32.8,3.7772912532091144e-11
1.8418,-32.8,4.1638467460870746e-11
1.8419,-32.8,4.2926985770463945e-11
1.842,-32.8,4.2926985770463945e-11
1.8421,-32.8,4.357124492526055e-11
1.8422,-32.8,4.228272661566735e-11
1.8423,-32.8,4.936958476901055e-11
1.8424,-32.8,4.6148288995027544e-11
1.8425,-32.8,5.4523665457963944e-11
1.8426,-32.8,3.712865337729454e-11
1.8427,-32.8,3.5840127617120744e-11
1.8428,-32.8,3.2618831843137744e-11
1.8429,-32.8,4.1638467460870746e-11
1.8430000000000002,-32.8,3.1330313533544546e-11
1.8431000000000002,-32.8,3.841717168688774e-11
1.8432000000000002,-32.8,3.9705689996480945e-11
1.8433000000000002,-32.8,4.4859770685434345e-11
1.8434000000000001,-32.8,4.034994915127755e-11
1.8435000000000001,-32.8,4.1638467460870746e-11
1.8436000000000001,-32.8,4.228272661566735e-11
1.8437000000000001,-32.8,3.9705689996480945e-11
1.8438,-32.8,3.7772912532091144e-11
1.8439,-32.8,4.0994208306074144e-11
1.844,-32.8,4.550402984023094e-11
1.8441,-32.8,5.645644292235375e-11
1.8442,-32.8,4.228272661566735e-11
1.8443,-32.8,4.228272661566735e-11
1.8444,-32.8,3.5840127617120744e-11
1.8445,-32.8,4.4859770685434345e-11
1.8446,-32.8,4.0994208306074144e-11
1.8447,-32.8,4.1638467460870746e-11
1.8448,-32.8,3.390735015273094e-11
1.8449,-32.8,3.7772912532091144e-11
1.8450000000000002,-32.8,4.034994915127755e-11
1.8451000000000002,-32.8,6.547607481479645e-11
1.8452000000000002,-32.8,5.4523665457963944e-11
1.8453000000000002,-32.8,4.743680730462074e-11
1.8454000000000002,-32.8,3.7772912532091144e-11
1.8455000000000001,-32.8,5.065810307860375e-11
1.8456000000000001,-32.8,3.9705689996480945e-11
1.8457000000000001,-32.8,2.424345538020134e-11
1.8458,-32.8,3.1330313533544546e-11
1.8459,-32.8,3.519586846232415e-11
1.846,-32.8,4.034994915127755e-11
1.8461,-32.8,3.068605437874794e-11
1.8462,-32.8,5.1302369683980944e-11
1.8463,-32.8,3.2618831843137744e-11
1.8464,-32.8,4.4859770685434345e-11
1.8465,-32.8,4.550402984023094e-11
1.8466,-32.8,4.357124492526055e-11
1.8467,-32.8,3.004179522395134e-11
1.8468,-32.8,4.1638467460870746e-11
1.8469,-32.8,4.1638467460870746e-11
1.8470000000000002,-32.8,3.906143084168434e-11
1.8471000000000002,-32.8,3.7772912532091144e-11
1.8472000000000002,-32.8,4.6148288995027544e-11
1.8473000000000002,-32.8,5.5167924612760546e-11
1.8474000000000002,-32.8,4.421551153063774e-11
1.8475000000000001,-32.8,4.421551153063774e-11
1.8476000000000001,-32.8,3.2618831843137744e-11
1.8477000000000001,-32.8,3.519586846232415e-11
1.8478,-32.8,3.519586846232415e-11
1.8479,-32.8,3.841717168688774e-11
1.848,-32.8,3.9705689996480945e-11
1.8481,-32.8,4.357124492526055e-11
1.8482,-32.8,4.421551153063774e-11
1.8483,-32.8,3.906143084168434e-11
1.8484,-32.8,4.6148288995027544e-11
1.8485,-32.8,4.6792548149824146e-11
1.8486,-32.8,4.228272661566735e-11
1.8487,-32.8,5.065810307860375e-11
1.8488,-32.8,2.8109010308980943e-11
1.8489,-32.8,5.1946628838777547e-11
1.8490000000000002,-32.8,4.8081066459417345e-11
1.8491000000000002,-32.8,4.872532561421395e-11
1.8492000000000002,-32.8,5.1302369683980944e-11
1.8493000000000002,-32.8,3.197457268834114e-11
1.8494000000000002,-32.8,3.7772912532091144e-11
1.8495000000000001,-32.8,3.712865337729454e-11
1.8496000000000001,-32.8,3.197457268834114e-11
1.8497000000000001,-32.8,5.5167924612760546e-11
1.8498,-32.8,3.9705689996480945e-11
1.8499,-32.8,3.1330313533544546e-11
1.85,-32.8,4.550402984023094e-11
1.8501,-32.8,3.519586846232415e-11
1.8502,-32.8,3.712865337729454e-11
1.8503,-32.8,4.357124492526055e-11
1.8504,-32.8,4.4859770685434345e-11
1.8505,-32.8,4.743680730462074e-11
1.8506,-32.8,4.1638467460870746e-11
1.8507,-32.8,4.1638467460870746e-11
1.8508,-32.8,4.2926985770463945e-11
1.8509,-32.8,3.841717168688774e-11
1.851,-32.8,5.5167924612760546e-11
1.8511000000000002,-32.8,3.390735015273094e-11
1.8512000000000002,-32.8,3.841717168688774e-11
1.8513000000000002,-32.8,5.903348699212075e-11
1.8514000000000002,-32.8,5.259088799357414e-11
1.8515000000000001,-32.8,3.7772912532091144e-11
1.8516000000000001,-32.8,3.712865337729454e-11
1.8517000000000001,-32.8,4.6148288995027544e-11
1.8518000000000001,-32.8,4.228272661566735e-11
1.8519,-32.8,4.4859770685434345e-11
1.852,-32.8,3.5840127617120744e-11
1.8521,-32.8,3.9705689996480945e-11
1.8522,-32.8,4.357124492526055e-11
1.8523,-32.8,4.743680730462074e-11
1.8524,-32.8,5.645644292235375e-11
1.8525,-32.8,4.550402984023094e-11
1.8526,-32.8,4.4859770685434345e-11
1.8527,-32.8,4.1638467460870746e-11
1.8528,-32.8,3.7772912532091144e-11
1.8529,-32.8,4.2926985770463945e-11
1.853,-32.8,4.228272661566735e-11
1.8531000000000002,-32.8,3.648439422249794e-11
1.8532000000000002,-32.8,4.1638467460870746e-11
1.8533000000000002,-32.8,3.906143084168434e-11
1.8534000000000002,-32.8,4.228272661566735e-11
1.8535000000000001,-32.8,4.1638467460870746e-11
1.8536000000000001,-32.8,4.550402984023094e-11
1.8537000000000001,-32.8,6.225478276610375e-11
1.8538000000000001,-32.8,3.7772912532091144e-11
1.8539,-32.8,3.906143084168434e-11
1.854,-32.8,4.0994208306074144e-11
1.8541,-32.8,4.550402984023094e-11
1.8542,-32.8,4.4859770685434345e-11
1.8543,-32.8,3.712865337729454e-11
1.8544,-32.8,4.872532561421395e-11
1.8545,-32.8,4.550402984023094e-11
1.8546,-32.8,5.0013843923807146e-11
1.8547,-32.8,5.259088799357414e-11
1.8548,-32.8,4.6792548149824146e-11
1.8549,-32.8,5.838922038674355e-11
1.855,-32.8,3.906143084168434e-11
1.8551000000000002,-32.8,4.034994915127755e-11
1.8552000000000002,-32.8,5.5167924612760546e-11
1.8553000000000002,-32.8,4.4859770685434345e-11
1.8554000000000002,-32.8,3.9705689996480945e-11
1.8555000000000001,-32.8,4.0994208306074144e-11
1.8556000000000001,-32.8,4.034994915127755e-11
1.8557000000000001,-32.8,2.682049199938774e-11
1.8558000000000001,-32.8,3.841717168688774e-11
1.8559,-32.8,4.550402984023094e-11
1.856,-32.8,4.8081066459417345e-11
1.8561,-32.8,5.1946628838777547e-11
1.8562,-32.8,4.743680730462074e-11
1.8563,-32.8,4.550402984023094e-11
1.8564,-32.8,4.1638467460870746e-11
1.8565,-32.8,5.3235147148370745e-11
1.8566,-32.8,3.1330313533544546e-11
1.8567,-32.8,4.872532561421395e-11
1.8568,-32.8,4.0994208306074144e-11
1.8569,-32.8,2.8109010308980943e-11
1.857,-32.8,3.004179522395134e-11
1.8571000000000002,-32.8,4.6792548149824146e-11
1.8572000000000002,-32.8,4.550402984023094e-11
1.8573000000000002,-32.8,3.7772912532091144e-11
1.8574000000000002,-32.8,4.550402984023094e-11
1.8575000000000002,-32.8,4.6792548149824146e-11
1.8576000000000001,-32.8,3.5840127617120744e-11
1.8577000000000001,-32.8,3.9705689996480945e-11
1.8578000000000001,-32.8,3.841717168688774e-11
1.8579,-32.8,4.743680730462074e-11
1.858,-32.8,4.228272661566735e-11
1.8581,-32.8,5.1302369683980944e-11
1.8582,-32.8,4.421551153063774e-11
1.8583,-32.8,4.872532561421395e-11
1.8584,-32.8,4.6148288995027544e-11
1.8585,-32.8,4.8081066459417345e-11
1.8586,-32.8,4.228272661566735e-11
1.8587,-32.8,3.712865337729454e-11
1.8588,-32.8,4.743680730462074e-11
1.8589,-32.8,4.1638467460870746e-11
1.859,-32.8,3.068605437874794e-11
1.8591000000000002,-32.8,3.1330313533544546e-11
1.8592000000000002,-32.8,4.034994915127755e-11
1.8593000000000002,-32.8,3.2618831843137744e-11
1.8594000000000002,-32.8,5.387940630316735e-11
1.8595000000000002,-32.8,4.421551153063774e-11
1.8596000000000001,-32.8,3.1330313533544546e-11
1.8597000000000001,-32.8,3.906143084168434e-11
1.8598000000000001,-32.8,4.872532561421395e-11
1.8599,-32.8,4.1638467460870746e-11
1.86,-32.8,5.581218376755715e-11
1.8601,-32.8,3.5840127617120744e-11
1.8602,-32.8,4.357124492526055e-11
1.8603,-32.8,4.2926985770463945e-11
1.8604,-32.8,4.872532561421395e-11
1.8605,-32.8,5.3235147148370745e-11
1.8606,-32.8,4.0994208306074144e-11
1.8607,-32.8,5.387940630316735e-11
1.8608,-32.8,3.3263090997934347e-11
1.8609,-32.8,3.4551609307527545e-11
1.861,-32.8,3.906143084168434e-11
1.8611000000000002,-32.8,3.390735015273094e-11
1.8612000000000002,-32.8,5.0013843923807146e-11
1.8613000000000002,-32.8,4.421551153063774e-11
1.8614000000000002,-32.8,4.034994915127755e-11
1.8615000000000002,-32.8,5.3235147148370745e-11
1.8616000000000001,-32.8,4.0994208306074144e-11
1.8617000000000001,-32.8,4.357124492526055e-11
1.8618000000000001,-32.8,4.6792548149824146e-11
1.8619,-32.8,4.550402984023094e-11
1.862,-32.8,5.0013843923807146e-11
1.8621,-32.8,4.550402984023094e-11
1.8622,-32.8,3.1330313533544546e-11
1.8623,-32.8,4.936958476901055e-11
1.8624,-32.8,3.648439422249794e-11
1.8625,-32.8,4.6792548149824146e-11
1.8626,-32.8,5.3235147148370745e-11
1.8627,-32.8,4.743680730462074e-11
1.8628,-32.8,4.4859770685434345e-11
1.8629,-32.8,5.1946628838777547e-11
1.863,-32.8,3.712865337729454e-11
1.8631,-32.8,5.065810307860375e-11
1.8632000000000002,-32.8,5.0013843923807146e-11
1.8633000000000002,-32.8,4.228272661566735e-11
1.8634000000000002,-32.8,3.9705689996480945e-11
1.8635000000000002,-32.8,3.4551609307527545e-11
1.8636000000000001,-32.8,3.9705689996480945e-11
1.8637000000000001,-32.8,3.9705689996480945e-11
1.8638000000000001,-32.8,4.228272661566735e-11
1.8639000000000001,-32.8,3.9705689996480945e-11
1.864,-32.8,3.004179522395134e-11
1.8641,-32.8,3.9705689996480945e-11
1.8642,-32.8,3.9705689996480945e-11
1.8643,-32.8,3.1330313533544546e-11
1.8644,-32.8,2.8109010308980943e-11
1.8645,-32.8,3.841717168688774e-11
1.8646,-32.8,3.390735015273094e-11
1.8647,-32.8,3.068605437874794e-11
1.8648,-32.8,4.228272661566735e-11
1.8649,-32.8,2.8109010308980943e-11
1.865,-32.8,3.906143084168434e-11
1.8651,-32.8,3.4551609307527545e-11
1.8652000000000002,-32.8,4.357124492526055e-11
1.8653000000000002,-32.8,3.7772912532091144e-11
1.8654000000000002,-32.8,3.4551609307527545e-11
1.8655000000000002,-32.8,4.357124492526055e-11
1.8656000000000001,-32.8,5.387940630316735e-11
1.8657000000000001,-32.8,5.1302369683980944e-11
1.8658000000000001,-32.8,3.390735015273094e-11
1.8659000000000001,-32.8,5.1946628838777547e-11
1.866,-32.8,5.1302369683980944e-11
1.8661,-32.8,2.8753276914358142e-11
1.8662,-32.8,5.5167924612760546e-11
1.8663,-32.8,3.906143084168434e-11
1.8664,-32.8,4.1638467460870746e-11
1.8665,-32.8,3.648439422249794e-11
1.8666,-32.8,3.841717168688774e-11
1.8667,-32.8,4.421551153063774e-11
1.8668,-32.8,6.225478276610375e-11
1.8669,-32.8,4.8081066459417345e-11
1.867,-32.8,3.7772912532091144e-11
1.8671,-32.8,4.1638467460870746e-11
1.8672000000000002,-32.8,4.6148288995027544e-11
1.8673000000000002,-32.8,4.228272661566735e-11
1.8674000000000002,-32.8,4.1638467460870746e-11
1.8675000000000002,-32.8,4.228272661566735e-11
1.8676000000000001,-32.8,3.068605437874794e-11
1.8677000000000001,-32.8,4.8081066459417345e-11
1.8678000000000001,-32.8,4.421551153063774e-11
